team_name,avg_r32_opponent_strength,avg_r16_opponent_strength,avg_qf_opponent_strength,avg_sf_opponent_strength,avg_final_opponent_strength
Czechia,1622.8702950819675,1697.0746666666662,1758.9115714285715,1727.387,
Mexico,1596.425527472528,1722.3419830508467,1775.9737272727275,1781.4966250000002,1798.14375
South Africa,1593.191309523809,1662.9358666666665,1764.9920000000002,,
South Korea,1609.7697594936712,1652.135621621621,1748.4641249999997,1804.9012000000002,
Bosnia and Herzegovina,1625.7985499999995,1689.0212999999999,1620.816,,
Canada,1603.8449523809522,1712.3461190476194,1759.2474999999997,1778.0605,
Qatar,1618.6741276595747,1691.9800769230771,1860.1195000000002,,
Switzerland,1612.6982446808508,1776.6826229508197,1720.6889583333332,1793.4223000000002,1812.003
Brazil,1682.539288659795,1731.5992500000004,1679.5368437500003,1806.7830000000001,1758.1464
Haiti,1726.7535,1584.969,1874.012,,
Morocco,1681.0914329896914,1755.3677272727282,1730.6641818181815,1831.9790000000003,1803.8061428571432
Scotland,1703.3804603174617,1775.3527058823527,,,
Australia,1634.7415362318839,1688.6156486486484,1797.2584000000004,1763.8280000000002,1891.505
Paraguay,1668.668641509434,1674.2946250000002,1836.0935,1764.7869999999998,
Turkey,1629.115448717948,1673.8019000000008,1795.396266666667,1659.3666,1793.7914
USA,1659.528540540541,1675.5871212121215,1801.250944444445,1813.0656,1874.012
Cote d'Ivoire,1647.7499117647062,1698.587615384615,1742.0845454545454,1837.7576000000001,1874.012
Curacao,1700.7262105263155,1603.735,,,
Ecuador,1622.3894301075263,1648.71706,1755.2042307692307,1774.803,1799.7422
Germany,1607.1086847826095,1649.5220476190482,1701.6632400000008,1810.504884615384,1825.419333333333
Japan,1727.855283950619,1742.112057142858,1694.1083000000003,1810.53,
Netherlands,1718.536781250002,1760.962313725491,1748.5765624999997,1789.146541666667,1753.5555833333335
Sweden,1706.9678000000006,1697.7486000000001,1821.673,,
Tunisia,1694.832325581396,1735.8397692307694,1874.012,,
Belgium,1619.3292604166654,1654.9884696969702,1785.7153902439027,1725.4840625000002,1808.0640909090907
Egypt,1641.5505000000014,1718.7033783783788,1780.275,1815.8902857142857,1795.7405
IR Iran,1635.273764044944,1690.1170217391311,1781.1638750000004,1739.4505,
New Zealand,1665.9089999999999,,,,
Cabo Verde,1720.6475769230772,1646.146,,,
Saudi Arabia,1726.9738124999997,1677.6924999999999,,,
Spain,1682.8390699999977,1717.386961038961,1657.1183035714287,1738.390636363637,1814.9448333333335
Uruguay,1780.6900212765936,1676.5928611111108,1724.329294117647,1759.452,1850.3063333333332
France,1604.9417070707082,1735.9480229885078,1718.664966666667,1782.4569512195114,1760.349
Iraq,1644.1275,1696.4134,1738.8735,,
Norway,1644.9661940298513,1749.3222173913043,1681.4882000000002,1796.52925,
Senegal,1659.5152409638556,1734.1195000000007,1703.7013333333334,1799.0696250000005,1779.191375
Algeria,1758.0531791044784,1699.9870000000003,1768.001666666667,1716.6125,
Argentina,1725.0672799999995,1668.2255694444455,1698.567614035088,1772.3955333333336,1813.3959677419352
Austria,1770.3085600000004,1694.8881363636362,1779.1457500000001,1717.3105,
Jordan,1737.347476190476,1753.2396666666666,1738.491,,
Colombia,1678.7569659090907,1708.9377017543866,1743.4407272727278,1714.941076923077,1800.7651111111109
DR Congo,1706.1985277777776,1739.4942857142855,1590.325,,
Portugal,1674.2261354166665,1705.7095303030305,1796.118384615385,1802.592681818182,1800.72
Uzbekistan,1728.2922619047615,1679.1315555555557,,,
Croatia,1647.3454347826078,1713.0690925925928,1763.8157999999999,1788.5669999999998,1716.6125
England,1640.0116494845352,1695.0468513513526,1766.1574166666671,1732.9687826086956,1829.6022857142855
Ghana,1726.4515714285712,1891.505,,,
Panama,1692.5918305084747,1719.5741875,1850.3063333333332,,
