team_name,fifa_elo_rating,model_rating_before_fifa_blend,old_world_cup_elo_rating,anchored_final_strength_no_confed,confederation_pool_correction,anchored_final_strength,old_rank,new_rank,rank_change
Spain,1876.4,1860.082,1864.162,1871.505,20.0,1891.505,1,1,0
Argentina,1874.81,1823.853,1836.592,1859.523,25.0,1884.523,2,2,0
France,1877.32,1799.627,1819.05,1854.012,20.0,1874.012,3,3,0
England,1825.97,1768.516,1782.88,1808.734,20.0,1828.734,5,4,1
Portugal,1763.83,1744.027,1748.978,1757.889,20.0,1777.889,7,5,2
Brazil,1761.16,1723.598,1732.988,1749.891,25.0,1774.891,11,6,5
Netherlands,1757.87,1736.625,1741.936,1751.496,20.0,1771.496,8,7,1
Morocco,1755.87,1828.882,1810.629,1777.774,-15.0,1762.774,4,8,-4
Germany,1730.37,1735.275,1734.049,1731.841,20.0,1751.841,10,9,1
Senegal,1688.99,1775.61,1753.955,1714.976,-15.0,1699.976,6,13,-7
Japan,1660.43,1765.241,1739.038,1691.873,-20.0,1671.873,9,17,-8
