team_name,group_letter,raw_elo_rating,weighted_elo_rating,fifa_elo_rating,final_strength_used_by_poisson,rank_by_final_strength
Spain,H,1864.162,1992.85,1876.4,1891.505,1
Argentina,J,1836.592,1947.258,1874.81,1884.523,2
France,I,1819.05,1923.75,1877.32,1874.012,3
England,L,1782.88,1877.41,1825.97,1828.734,4
Portugal,K,1748.978,1844.73,1763.83,1777.889,5
Brazil,C,1732.988,1831.247,1761.16,1774.891,6
Netherlands,F,1741.936,1830.213,1757.87,1771.496,7
Morocco,C,1810.629,1895.281,1755.87,1762.774,8
Germany,E,1734.049,1818.717,1730.37,1751.841,9
Senegal,I,1753.955,1833.733,1688.99,1699.976,13
Japan,F,1739.038,1872.193,1660.43,1671.873,17
Curacao,E,1491.488,1587.442,1294.65,1358.385,47
