date,model,home_team,away_team,home_score,away_score,tournament,neutral,home_rating_before,away_rating_before,expected_home,actual_home,expected_away,actual_away,favorite_side,favorite_status_home,favorite_status_away,k_effective,home_rating_after,away_rating_after,home_delta,away_delta
2014-01-01,simple_elo,Kuwait,Jordan,1,2,WAFF Championship,True,1500.0,1500.0,0.5,0.0,0.5,1.0,even,even,even,30.0,1485.0,1515.0,-15.0,15.0
2014-01-04,simple_elo,Bahrain,Jordan,0,1,WAFF Championship,True,1500.0,1515.0,0.4784,0.0,0.5216,1.0,away,underdog,favorite,30.0,1485.647,1529.353,-14.353,14.353
2014-01-04,simple_elo,Namibia,Ghana,0,1,Friendly,False,1500.0,1500.0,0.5,0.0,0.5,1.0,even,even,even,30.0,1485.0,1515.0,-15.0,15.0
2014-01-04,simple_elo,Nigeria,Ethiopia,2,1,Friendly,False,1500.0,1500.0,0.5,1.0,0.5,0.0,even,even,even,30.0,1515.0,1485.0,15.0,-15.0
2014-01-04,simple_elo,Qatar,Kuwait,3,0,WAFF Championship,False,1500.0,1485.0,0.5216,1.0,0.4784,0.0,home,favorite,underdog,30.0,1514.353,1470.647,14.353,-14.353
2014-01-07,simple_elo,Bahrain,Kuwait,0,0,WAFF Championship,True,1485.647,1470.647,0.5216,0.5,0.4784,0.5,home,favorite,underdog,30.0,1485.0,1471.294,-0.647,0.647
2014-01-07,simple_elo,Qatar,Jordan,2,0,WAFF Championship,False,1514.353,1529.353,0.4784,1.0,0.5216,0.0,away,underdog,favorite,30.0,1530.0,1513.706,15.647,-15.647
2014-01-07,simple_elo,Zimbabwe,Gabon,2,0,Friendly,True,1500.0,1500.0,0.5,1.0,0.5,0.0,even,even,even,30.0,1515.0,1485.0,15.0,-15.0
2014-01-15,simple_elo,Moldova,Norway,1,2,Friendly,True,1500.0,1500.0,0.5,0.0,0.5,1.0,even,even,even,30.0,1485.0,1515.0,-15.0,15.0
2014-01-17,simple_elo,Moldova,Sweden,1,2,Friendly,True,1485.0,1500.0,0.4784,0.0,0.5216,1.0,away,underdog,favorite,30.0,1470.647,1514.353,-14.353,14.353
2014-01-18,simple_elo,Norway,Poland,0,3,Friendly,True,1515.0,1500.0,0.5216,0.0,0.4784,1.0,home,favorite,underdog,30.0,1499.353,1515.647,-15.647,15.647
2014-01-20,simple_elo,Moldova,Poland,0,1,Friendly,True,1470.647,1515.647,0.4356,0.0,0.5644,1.0,away,underdog,favorite,30.0,1457.579,1528.715,-13.068,13.068
2014-01-21,simple_elo,Iceland,Sweden,0,2,Friendly,True,1500.0,1514.353,0.4794,0.0,0.5206,1.0,away,underdog,favorite,30.0,1485.619,1528.733,-14.381,14.381
2014-01-22,simple_elo,Chile,Costa Rica,4,0,Friendly,False,1500.0,1500.0,0.5,1.0,0.5,0.0,even,even,even,30.0,1515.0,1485.0,15.0,-15.0
2014-01-24,simple_elo,Oman,Finland,0,0,Friendly,False,1500.0,1500.0,0.5,0.5,0.5,0.5,even,even,even,30.0,1500.0,1500.0,0.0,-0.0
2014-01-25,simple_elo,Costa Rica,South Korea,0,1,Friendly,True,1485.0,1500.0,0.4784,0.0,0.5216,1.0,away,underdog,favorite,30.0,1470.647,1514.353,-14.353,14.353
2014-01-29,simple_elo,Mexico,South Korea,4,0,Friendly,True,1500.0,1514.353,0.4794,1.0,0.5206,0.0,away,underdog,favorite,30.0,1515.619,1498.733,15.619,-15.619
2014-01-31,simple_elo,Oman,Jordan,0,0,AFC Asian Cup qualification,False,1500.0,1513.706,0.4803,0.5,0.5197,0.5,away,underdog,favorite,30.0,1500.591,1513.114,0.591,-0.591
2014-02-01,simple_elo,USA,South Korea,2,0,Friendly,False,1500.0,1498.733,0.5018,1.0,0.4982,0.0,home,favorite,underdog,30.0,1514.945,1483.788,14.945,-14.945
2014-02-04,simple_elo,Singapore,Jordan,1,3,AFC Asian Cup qualification,False,1500.0,1513.114,0.4811,0.0,0.5189,1.0,away,underdog,favorite,30.0,1485.566,1527.548,-14.434,14.434
2014-02-19,simple_elo,Lebanon,Pakistan,3,1,Friendly,False,1500.0,1500.0,0.5,1.0,0.5,0.0,even,even,even,30.0,1515.0,1485.0,15.0,-15.0
2014-02-21,simple_elo,Iraq,North Korea,2,0,Friendly,True,1500.0,1500.0,0.5,1.0,0.5,0.0,even,even,even,30.0,1515.0,1485.0,15.0,-15.0
2014-02-23,simple_elo,Sealand,Chagos Islands,4,2,Friendly,True,1500.0,1500.0,0.5,1.0,0.5,0.0,even,even,even,30.0,1515.0,1485.0,15.0,-15.0
2014-03-01,simple_elo,Gibraltar,Faroe Islands,1,4,Friendly,False,1500.0,1500.0,0.5,0.0,0.5,1.0,even,even,even,30.0,1485.0,1515.0,-15.0,15.0
2014-03-01,simple_elo,Malaysia,Philippines,0,0,Friendly,False,1500.0,1500.0,0.5,0.5,0.5,0.5,even,even,even,30.0,1500.0,1500.0,0.0,-0.0
2014-03-03,simple_elo,IR Iran,Kuwait,3,2,AFC Asian Cup qualification,False,1500.0,1471.294,0.5412,1.0,0.4588,0.0,home,favorite,underdog,30.0,1513.763,1457.531,13.763,-13.763
2014-03-05,simple_elo,Albania,Malta,2,0,Friendly,False,1500.0,1500.0,0.5,1.0,0.5,0.0,even,even,even,30.0,1515.0,1485.0,15.0,-15.0
2014-03-05,simple_elo,Algeria,Slovenia,2,0,Friendly,False,1500.0,1500.0,0.5,1.0,0.5,0.0,even,even,even,30.0,1515.0,1485.0,15.0,-15.0
2014-03-05,simple_elo,Andorra,Moldova,0,3,Friendly,False,1500.0,1457.579,0.5607,0.0,0.4393,1.0,home,favorite,underdog,30.0,1483.178,1474.402,-16.822,16.822
2014-03-05,simple_elo,Australia,Ecuador,3,4,Friendly,True,1500.0,1500.0,0.5,0.0,0.5,1.0,even,even,even,30.0,1485.0,1515.0,-15.0,15.0
2014-03-05,simple_elo,Austria,Uruguay,1,1,Friendly,False,1500.0,1500.0,0.5,0.5,0.5,0.5,even,even,even,30.0,1500.0,1500.0,0.0,-0.0
2014-03-05,simple_elo,Belgium,Cote d'Ivoire,2,2,Friendly,False,1500.0,1500.0,0.5,0.5,0.5,0.5,even,even,even,30.0,1500.0,1500.0,0.0,-0.0
2014-03-05,simple_elo,Bosnia and Herzegovina,Egypt,0,2,Friendly,True,1500.0,1500.0,0.5,0.0,0.5,1.0,even,even,even,30.0,1485.0,1515.0,-15.0,15.0
