base_total_goals,share_scale,mismatch_total_bonus,mismatch_scale,draw_boost_max,draw_boost_scale,status,error,n_matches,accuracy,mean_brier_score,mean_log_loss,mean_actual_outcome_probability,predicted_draw_rate,actual_draw_rate,draw_calibration_error,goal_mae,goal_rmse
2.75,220,0.9,650,0.045,300,ok,,866,0.6004618937644342,0.5299285979212477,0.8983500060245057,0.4708207851949726,0.2257660954387193,0.22632794457274827,0.0005618491340289578,0.9626992703269892,1.2593812039033963
2.65,220,0.9,650,0.035,300,ok,,866,0.6004618937644342,0.5298803693720399,0.8983732533690131,0.46987787873539316,0.2251591667535317,0.22632794457274827,0.0011687778192165654,0.951383798294315,1.25412365511037
2.55,220,0.9,500,0.035,300,ok,,866,0.6004618937644342,0.5299248890742034,0.8983882221375695,0.4700331689583232,0.22647325470292262,0.22632794457274827,0.00014531013017435312,0.9473206450540421,1.2525788790842172
2.65,220,0.9,500,0.045,300,ok,,866,0.6004618937644342,0.5299892361088712,0.8983940365169314,0.4709668830656811,0.2269995441284346,0.22632794457274827,0.0006715995556863252,0.9584881020836582,1.2574720667583579
2.75,220,0.7,650,0.045,300,ok,,866,0.6004618937644342,0.5299481747294469,0.898423258925619,0.4707536891740636,0.22582413983007013,0.22632794457274827,0.0005038047426781378,0.962699315438665,1.2606963733423613
2.65,220,0.9,650,0.045,220,ok,,866,0.6004618937644342,0.5299182118466789,0.8984297930725104,0.4698277060112834,0.22726547032613081,0.22632794457274827,0.0009375257533825454,0.951383798294315,1.25412365511037
2.45,220,0.9,500,0.025,300,ok,,866,0.6004618937644342,0.5298873141515117,0.8984344476499667,0.46898332334628223,0.22628919460283864,0.22632794457274827,3.874996990962942e-05,0.9376889806673158,1.2500031302840564
2.65,220,0.9,650,0.035,220,ok,,866,0.6004618937644342,0.5299141174692824,0.8984394352535428,0.47093466454782856,0.22212507592715003,0.22632794457274827,0.00420286864559824,0.951383798294315,1.25412365511037
2.65,220,0.9,500,0.035,300,ok,,866,0.6004618937644342,0.5300086364210927,0.8984398096582364,0.47238000784744977,0.2209922666362019,0.22632794457274827,0.005335677936546379,0.9584881020836582,1.2574720667583579
2.75,220,0.9,800,0.045,300,ok,,866,0.6004618937644342,0.5299080966626785,0.8984464196902512,0.46919788811546204,0.22840188929260072,0.22632794457274827,0.0020739447198524497,0.9580686635797032,1.2579697251305795
2.55,220,0.9,650,0.025,300,ok,,866,0.6004618937644342,0.5298597122362345,0.8984504237053581,0.4688185227004611,0.22488520097191042,0.22632794457274827,0.001442743600837848,0.941423565913288,1.2511784027912847
2.75,220,0.9,650,0.035,300,ok,,866,0.6004618937644342,0.5299860240415889,0.8984509499487048,0.47223431126899423,0.21975881794648663,0.22632794457274827,0.006569126626261634,0.9626992703269892,1.2593812039033963
2.65,220,0.7,650,0.035,300,ok,,866,0.6004618937644342,0.5299021473196861,0.898452082864233,0.4698059146212781,0.22522169566808492,0.22632794457274827,0.0011062489046633484,0.9513838434059909,1.2554956501884784
2.55,220,0.9,500,0.035,220,ok,,866,0.6004618937644342,0.5299553835567555,0.898454529692014,0.47109020440476,0.22343916387654095,0.22632794457274827,0.0028887806962073215,0.9473206450540421,1.2525788790842172
2.75,220,0.9,650,0.045,220,ok,,866,0.6004618937644342,0.5299896291020032,0.8984570637876823,0.47218389142297706,0.22186512151908577,0.22632794457274827,0.004462823053662496,0.9626992703269892,1.2593812039033963
2.65,220,0.9,650,0.045,300,ok,,866,0.6004618937644342,0.5299382918385779,0.8984571506037528,0.4684689813952949,0.23116644424576435,0.22632794457274827,0.004838499673016083,0.951383798294315,1.25412365511037
2.75,220,0.7,800,0.045,300,ok,,866,0.6004618937644342,0.5299105511224322,0.8984571814599963,0.4691878626458162,0.22841085116131782,0.22632794457274827,0.0020829065885695497,0.9580830718393346,1.2585145035842173
2.75,220,0.9,500,0.045,300,ok,,866,0.6004618937644342,0.5300816307577888,0.8984596878289097,0.47320971980813265,0.22183062566689632,0.22632794457274827,0.004497318905851949,0.9720213124757829,1.2646557937909142
2.55,220,0.9,500,0.025,300,ok,,866,0.6004618937644342,0.5299549599679808,0.8984619609760532,0.4714416686719281,0.22046597721068995,0.22632794457274827,0.0058619673620583235,0.9473206450540421,1.2525788790842172
2.45,220,0.9,500,0.025,220,ok,,866,0.6004618937644342,0.529896683801118,0.8984650286762081,0.46973586067978007,0.2241219868697089,0.22632794457274827,0.0022059577030393573,0.9376889806673158,1.2500031302840564
2.75,220,0.9,800,0.035,300,ok,,866,0.6004618937644342,0.5299173516824277,0.8984668305147001,0.47060875782273753,0.22239461180036801,0.22632794457274827,0.003933332772380255,0.9580686635797032,1.2579697251305795
2.75,220,0.9,800,0.045,220,ok,,866,0.6004618937644342,0.5299202619942205,0.8984689770168329,0.4705580285841056,0.22450091537296715,0.22632794457274827,0.0018270291997811161,0.9580686635797032,1.2579697251305795
2.55,220,0.9,650,0.035,220,ok,,866,0.6004618937644342,0.529878388102653,0.8984696923415694,0.4684676512314819,0.22785838763776145,0.22632794457274827,0.0015304430650131817,0.941423565913288,1.2511784027912847
