team,matches_played,regulation_wins,regulation_draws,regulation_losses,shootout_wins,shootout_losses,goals_for,goals_against,goal_difference
Algeria,615,286,162,167,7,7,948,613,335
Argentina,1064,588,257,219,15,6,2016,1073,943
Australia,579,296,122,161,3,3,1166,617,549
Austria,859,366,184,309,0,2,1540,1315,225
Belgium,851,380,181,290,2,0,1543,1290,253
Bosnia and Herzegovina,281,104,65,112,3,1,387,387,0
Brazil,1057,670,216,171,8,7,2297,954,1343
Cabo Verde,233,88,56,89,2,3,255,262,-7
Canada,467,178,107,182,3,4,605,611,-6
Colombia,636,256,176,204,7,5,818,735,83
Cote d'Ivoire,635,324,162,149,10,8,1040,633,407
Croatia,394,208,104,82,7,4,686,397,289
Curacao,383,142,100,141,0,2,630,604,26
Czechia,358,189,72,97,3,1,636,366,270
DR Congo,522,206,143,173,5,3,778,625,153
Ecuador,589,181,157,251,2,2,712,902,-190
Egypt,754,378,185,191,13,10,1223,764,459
England,1088,623,258,207,4,8,2377,1041,1336
France,933,476,195,262,5,6,1711,1206,505
Germany,1029,597,213,219,6,2,2314,1197,1117
Ghana,669,311,174,184,4,6,1051,697,354
Haiti,508,215,110,183,1,1,833,684,149
IR Iran,610,347,144,119,10,13,1150,482,668
Iraq,652,303,187,162,11,4,1003,606,397
Japan,789,389,165,235,5,7,1442,910,532
Jordan,479,178,134,167,0,3,613,533,80
Mexico,1000,511,231,258,6,7,1759,1053,706
Morocco,614,304,171,139,4,8,906,493,413
Netherlands,877,452,198,227,2,8,1839,1074,765
New Zealand,414,172,73,169,1,3,729,619,110
Norway,870,327,195,348,0,0,1347,1414,-67
Panama,535,181,132,222,5,2,670,813,-143
Paraguay,782,274,208,300,5,6,999,1113,-114
Portugal,693,347,159,187,5,3,1223,776,447
Qatar,633,260,154,219,5,4,895,766,129
Saudi Arabia,738,350,169,219,7,2,1134,775,359
Scotland,849,400,182,267,2,0,1446,1049,397
Senegal,636,298,168,170,9,8,880,596,284
South Africa,477,213,144,120,13,15,648,454,194
South Korea,1005,536,252,217,15,10,1786,914,872
Spain,781,460,181,140,7,7,1598,701,897
Sweden,1099,541,232,326,4,2,2168,1416,752
Switzerland,882,315,203,364,2,6,1315,1443,-128
Tunisia,676,296,189,191,6,5,974,684,290
Turkey,640,257,152,231,1,0,893,903,-10
USA,788,350,161,277,6,4,1196,1044,152
Uruguay,968,427,239,302,9,7,1530,1176,354
Uzbekistan,352,169,73,110,2,3,612,390,222
