match_number,round,slot_a,slot_b,team_a,team_b,winner,original_match_label,resolved_match_label,bracket_mode,bracket_source,uses_random_pairing,official_bracket,random_seed_used_for,model_version,model_status,parameter_config_path,rating_col
73,R32,2A,2B,Czechia,Switzerland,Switzerland,2A vs 2B,2A vs 2B,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']",v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength
74,R32,1C,2F,Morocco,Netherlands,Netherlands,1C vs 2F,1C vs 2F,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']",v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength
75,R32,1E,3ABCDF,Germany,South Korea,South Korea,1E vs 3ABCDF,1E vs 3ABCDF,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']",v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength
76,R32,1F,2C,Sweden,Brazil,Brazil,1F vs 2C,1F vs 2C,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']",v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength
77,R32,2E,2I,Cote d'Ivoire,Senegal,Cote d'Ivoire,2E vs 2I,2E vs 2I,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']",v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength
78,R32,1I,3CDFGH,France,Paraguay,France,1I vs 3CDFGH,1I vs 3CDFGH,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']",v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength
79,R32,1A,3CEFHI,Mexico,Ecuador,Mexico,1A vs 3CEFHI,1A vs 3CEFHI,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']",v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength
80,R32,1L,3EHIJK,England,Iraq,England,1L vs 3EHIJK,1L vs 3EHIJK,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']",v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength
81,R32,1G,3AEHIJ,Belgium,Austria,Belgium,1G vs 3AEHIJ,1G vs 3AEHIJ,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']",v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength
82,R32,1D,3BEFIJ,USA,Japan,Japan,1D vs 3BEFIJ,1D vs 3BEFIJ,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']",v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength
