id,team_name,fifa_code,group_letter,simple_elo_rating,matches_since_2014,matches_last_4_years,cross_confederation_matches,recent_points,recent_points_above_expected,recent_goal_difference,recent_form_score
1,Mexico,MEX,A,1757.254,204,68,68,0.0,0.0,0.0,0.0
2,South Africa,RSA,A,1623.081,150,55,7,0.0,0.0,0.0,0.0
3,South Korea,KOR,A,1755.321,166,53,41,0.0,0.0,0.0,0.0
4,Czechia,CZE,A,1633.524,131,43,7,0.0,0.0,0.0,0.0
5,Canada,CAN,B,1730.497,123,50,22,0.0,0.0,0.0,0.0
6,Bosnia and Herzegovina,BIH,B,1509.353,118,37,12,0.0,0.0,0.0,0.0
7,Qatar,QAT,B,1574.974,183,57,29,0.0,0.0,0.0,0.0
8,Switzerland,SUI,B,1721.083,142,48,12,0.0,0.0,0.0,0.0
9,Brazil,BRA,C,1802.572,150,44,48,0.0,0.0,0.0,0.0
10,Morocco,MAR,C,1869.836,153,61,26,0.0,0.0,0.0,0.0
11,Haiti,HAI,C,1589.597,96,36,8,0.0,0.0,0.0,0.0
12,Scotland,SCO,C,1616.725,119,43,5,0.0,0.0,0.0,0.0
13,USA,USA,D,1721.163,185,62,56,0.0,0.0,0.0,0.0
14,Paraguay,PAR,D,1660.361,119,39,24,0.0,0.0,0.0,0.0
15,Australia,AUS,D,1754.394,128,45,31,0.0,0.0,0.0,0.0
16,Turkey,TUR,D,1732.415,137,45,9,0.0,0.0,0.0,0.0
17,Germany,GER,E,1800.987,154,48,21,0.0,0.0,0.0,0.0
18,Curacao,CUR,E,1530.679,92,37,4,0.0,0.0,0.0,0.0
19,Cote d'Ivoire,CIV,E,1721.457,142,49,18,0.0,0.0,0.0,0.0
20,Ecuador,ECU,E,1759.634,130,46,34,0.0,0.0,0.0,0.0
21,Netherlands,NED,F,1799.5,143,49,18,0.0,0.0,0.0,0.0
22,Japan,JPN,F,1834.606,161,51,48,0.0,0.0,0.0,0.0
23,Sweden,SWE,F,1645.187,147,43,10,0.0,0.0,0.0,0.0
24,Tunisia,TUN,F,1679.236,155,54,26,0.0,0.0,0.0,0.0
25,Belgium,BEL,G,1737.528,148,46,21,0.0,0.0,0.0,0.0
26,Egypt,EGY,G,1724.739,141,51,17,0.0,0.0,0.0,0.0
27,IR Iran,IRN,G,1772.766,135,45,18,0.0,0.0,0.0,0.0
28,New Zealand,NZL,G,1588.444,79,36,26,0.0,0.0,0.0,0.0
29,Spain,ESP,H,1924.572,148,50,13,0.0,0.0,0.0,0.0
30,Cabo Verde,CPV,H,1604.927,100,42,3,0.0,0.0,0.0,0.0
31,Saudi Arabia,KSA,H,1624.697,170,67,26,0.0,0.0,0.0,0.0
32,Uruguay,URU,H,1737.443,138,46,41,0.0,0.0,0.0,0.0
33,France,FRA,I,1877.358,159,51,20,0.0,0.0,0.0,0.0
34,Senegal,SEN,I,1808.159,151,54,16,0.0,0.0,0.0,0.0
35,Iraq,IRQ,I,1683.697,160,50,8,0.0,0.0,0.0,0.0
36,Norway,NOR,I,1711.449,121,40,4,0.0,0.0,0.0,0.0
37,Argentina,ARG,J,1902.249,155,49,34,0.0,0.0,0.0,0.0
38,Algeria,ALG,J,1780.592,153,55,17,0.0,0.0,0.0,0.0
39,Austria,AUT,J,1717.004,127,44,6,0.0,0.0,0.0,0.0
40,Jordan,JOR,J,1668.21,166,57,13,0.0,0.0,0.0,0.0
41,Portugal,POR,K,1816.12,155,50,24,0.0,0.0,0.0,0.0
42,DR Congo,COD,K,1672.574,130,47,3,0.0,0.0,0.0,0.0
43,Uzbekistan,UZB,K,1738.418,133,47,11,0.0,0.0,0.0,0.0
44,Colombia,COL,K,1787.633,143,44,39,0.0,0.0,0.0,0.0
45,England,ENG,L,1814.468,153,50,17,0.0,0.0,0.0,0.0
46,Croatia,CRO,L,1772.821,147,49,22,0.0,0.0,0.0,0.0
47,Ghana,GHA,L,1546.49,128,44,21,0.0,0.0,0.0,0.0
48,Panama,PAN,L,1677.916,164,60,28,0.0,0.0,0.0,0.0
