team_name,world_cup_elo_rating,calibrated_world_cup_elo_rating,spread_factor,calibration_center
Mexico,1710.808,1722.025,1.2,1654.723
South Africa,1546.806,1525.223,1.2,1654.723
South Korea,1650.374,1649.504,1.2,1654.723
Czechia,1560.334,1541.456,1.2,1654.723
Canada,1642.264,1639.772,1.2,1654.723
Bosnia and Herzegovina,1494.018,1461.877,1.2,1654.723
Qatar,1495.63,1463.811,1.2,1654.723
Switzerland,1679.36,1684.287,1.2,1654.723
Brazil,1732.988,1748.641,1.2,1654.723
Morocco,1810.629,1841.81,1.2,1654.723
Haiti,1521.22,1494.519,1.2,1654.723
Scotland,1565.108,1547.185,1.2,1654.723
USA,1643.17,1640.859,1.2,1654.723
Paraguay,1602.16,1591.647,1.2,1654.723
Australia,1688.333,1695.055,1.2,1654.723
Turkey,1690.346,1697.471,1.2,1654.723
Germany,1734.049,1749.914,1.2,1654.723
Curacao,1491.488,1458.841,1.2,1654.723
Cote d'Ivoire,1662.387,1663.92,1.2,1654.723
Ecuador,1687.16,1693.647,1.2,1654.723
Netherlands,1741.936,1759.379,1.2,1654.723
Japan,1739.038,1755.901,1.2,1654.723
Sweden,1572.717,1556.316,1.2,1654.723
Tunisia,1605.059,1595.126,1.2,1654.723
Belgium,1694.164,1702.052,1.2,1654.723
Egypt,1668.452,1671.198,1.2,1654.723
IR Iran,1683.962,1689.81,1.2,1654.723
New Zealand,1508.75,1479.555,1.2,1654.723
Spain,1864.162,1906.05,1.2,1654.723
Cabo Verde,1535.298,1511.413,1.2,1654.723
Saudi Arabia,1532.018,1507.477,1.2,1654.723
Uruguay,1676.653,1681.039,1.2,1654.723
France,1819.05,1851.915,1.2,1654.723
Senegal,1753.955,1773.801,1.2,1654.723
Iraq,1594.879,1582.91,1.2,1654.723
Norway,1675.631,1679.813,1.2,1654.723
Argentina,1836.592,1872.966,1.2,1654.723
Algeria,1699.609,1708.586,1.2,1654.723
Austria,1651.014,1650.272,1.2,1654.723
Jordan,1595.567,1583.736,1.2,1654.723
Portugal,1748.978,1767.829,1.2,1654.723
DR Congo,1629.454,1624.4,1.2,1654.723
Uzbekistan,1632.699,1628.294,1.2,1654.723
Colombia,1716.332,1728.654,1.2,1654.723
England,1782.88,1808.511,1.2,1654.723
Croatia,1710.033,1721.095,1.2,1654.723
Ghana,1502.179,1471.67,1.2,1654.723
Panama,1646.994,1645.448,1.2,1654.723
