team_name,fifa_code,group_letter,simulations,group_rank_1_probability,group_rank_2_probability,group_rank_3_probability,group_rank_4_probability,qualification_probability,r32_probability,r16_probability,qf_probability,sf_probability,final_probability,champion_probability,bracket_mode,bracket_source,uses_random_pairing,official_bracket,random_seed_used_for,bracket_mapping_note,qualified_top_2_probability,qualified_best_third_probability,average_points,average_goal_difference,group_rank_1_count,group_rank_2_count,group_rank_3_count,group_rank_4_count,qualified_top_2_count,qualified_best_third_count,qualified_count,r32_count,r16_count,qf_count,sf_count,final_count,champion_count
Spain,ESP,H,10000,0.7708,0.2027,0.023,0.0035,0.9935,0.9935,0.7631,0.5696,0.4553,0.3284,0.2132,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.9735,0.02,7.5316,6.1039,7708,2027,230,35,9735,200,9935,9935,7631,5696,4553,3284,2132
Argentina,ARG,J,10000,0.7832,0.1623,0.0458,0.0087,0.9868,0.9868,0.711,0.58,0.4364,0.2788,0.1746,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.9455,0.0413,7.3064,5.4249,7832,1623,458,87,9455,413,9868,9868,7110,5800,4364,2788,1746
France,FRA,I,10000,0.7004,0.2164,0.0689,0.0143,0.9768,0.9768,0.8139,0.568,0.4087,0.2556,0.1577,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.9168,0.06,6.8865,4.5843,7004,2164,689,143,9168,600,9768,9768,8139,5680,4087,2556,1577
England,ENG,L,10000,0.6118,0.2886,0.0866,0.013,0.9741,0.9741,0.7397,0.5137,0.2939,0.1721,0.093,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.9004,0.0737,6.7107,4.3485,6118,2886,866,130,9004,737,9741,9741,7397,5137,2939,1721,930
Portugal,POR,K,10000,0.5283,0.3225,0.1146,0.0346,0.9451,0.9451,0.6226,0.3934,0.1992,0.1017,0.0461,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.8508,0.0943,6.1797,3.2608,5283,3225,1146,346,8508,943,9451,9451,6226,3934,1992,1017,461
Brazil,BRA,C,10000,0.4819,0.3775,0.121,0.0196,0.9606,0.9606,0.6182,0.348,0.215,0.1028,0.0455,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.8594,0.1012,6.2359,3.5996,4819,3775,1210,196,8594,1012,9606,9606,6182,3480,2150,1028,455
Germany,GER,E,10000,0.5647,0.2812,0.1329,0.0212,0.9615,0.9615,0.6618,0.4452,0.2396,0.1071,0.0442,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.8459,0.1156,6.399,3.7676,5647,2812,1329,212,8459,1156,9615,9615,6618,4452,2396,1071,442
Morocco,MAR,C,10000,0.4447,0.3996,0.1345,0.0212,0.9584,0.9584,0.5902,0.3163,0.1904,0.0907,0.0379,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.8443,0.1141,6.1089,3.4083,4447,3996,1345,212,8443,1141,9584,9584,5902,3163,1904,907,379
Netherlands,NED,F,10000,0.5818,0.2651,0.1116,0.0415,0.9387,0.9387,0.5412,0.2814,0.1626,0.0768,0.0333,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.8469,0.0918,6.2358,3.3007,5818,2651,1116,415,8469,918,9387,9387,5412,2814,1626,768,333
Belgium,BEL,G,10000,0.5726,0.27,0.1349,0.0225,0.9578,0.9578,0.6711,0.4044,0.1644,0.0778,0.0314,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.8426,0.1152,6.3611,3.7174,5726,2700,1349,225,8426,1152,9578,9578,6711,4044,1644,778,314
