team_name,fifa_code,group_letter,simulations,group_rank_1_probability,group_rank_2_probability,group_rank_3_probability,group_rank_4_probability,qualification_probability,r32_probability,r16_probability,qf_probability,sf_probability,final_probability,champion_probability,model_version,model_status,parameter_config_path,rating_col,bracket_mode,bracket_source,uses_random_pairing,official_bracket,random_seed_used_for,bracket_mapping_note,qualified_top_2_probability,qualified_best_third_probability,average_points,average_goal_difference,group_rank_1_count,group_rank_2_count,group_rank_3_count,group_rank_4_count,qualified_top_2_count,qualified_best_third_count,qualified_count,r32_count,r16_count,qf_count,sf_count,final_count,champion_count
Spain,ESP,H,100,0.78,0.21,0.01,0.0,1.0,1.0,0.75,0.52,0.41,0.33,0.26,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.99,0.01,7.66,6.13,78,21,1,0,99,1,100,100,75,52,41,33,26
France,FRA,I,100,0.75,0.2,0.05,0.0,1.0,1.0,0.91,0.71,0.53,0.35,0.17,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.95,0.05,7.37,5.23,75,20,5,0,95,5,100,100,91,71,53,35,17
Argentina,ARG,J,100,0.82,0.17,0.01,0.0,1.0,1.0,0.71,0.59,0.49,0.32,0.16,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.99,0.01,7.84,6.17,82,17,1,0,99,1,100,100,71,59,49,32,16
England,ENG,L,100,0.58,0.33,0.09,0.0,0.98,0.98,0.79,0.54,0.31,0.09,0.06,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.91,0.07,6.79,4.5,58,33,9,0,91,7,98,98,79,54,31,9,6
Netherlands,NED,F,100,0.59,0.25,0.16,0.0,0.92,0.92,0.57,0.29,0.2,0.1,0.05,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.84,0.08,6.33,3.74,59,25,16,0,84,8,92,92,57,29,20,10,5
Morocco,MAR,C,100,0.52,0.38,0.08,0.02,0.96,0.96,0.53,0.22,0.16,0.08,0.05,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.9,0.06,6.41,3.64,52,38,8,2,90,6,96,96,53,22,16,8,5
Portugal,POR,K,100,0.49,0.45,0.06,0.0,1.0,1.0,0.64,0.41,0.19,0.1,0.04,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.94,0.06,6.64,3.65,49,45,6,0,94,6,100,100,64,41,19,10,4
Croatia,CRO,L,100,0.38,0.43,0.14,0.05,0.93,0.93,0.66,0.39,0.17,0.09,0.04,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.81,0.12,5.77,3.03,38,43,14,5,81,12,93,93,66,39,17,9,4
Brazil,BRA,C,100,0.44,0.44,0.11,0.01,0.96,0.96,0.61,0.26,0.16,0.07,0.04,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.88,0.08,6.28,4.2,44,44,11,1,88,8,96,96,61,26,16,7,4
Senegal,SEN,I,100,0.17,0.38,0.34,0.11,0.76,0.76,0.41,0.19,0.09,0.04,0.03,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.55,0.21,4.3,0.03,17,38,34,11,55,21,76,76,41,19,9,4,3
Germany,GER,E,100,0.52,0.34,0.14,0.0,0.98,0.98,0.67,0.39,0.2,0.08,0.02,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.86,0.12,6.37,3.79,52,34,14,0,86,12,98,98,67,39,20,8,2
Colombia,COL,K,100,0.44,0.41,0.12,0.03,0.93,0.93,0.48,0.34,0.19,0.07,0.02,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.85,0.08,5.93,2.73,44,41,12,3,85,8,93,93,48,34,19,7,2
Ecuador,ECU,E,100,0.28,0.4,0.26,0.06,0.89,0.89,0.43,0.17,0.09,0.05,0.02,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.68,0.21,5.25,1.75,28,40,26,6,68,21,89,89,43,17,9,5,2
Japan,JPN,F,100,0.26,0.45,0.17,0.12,0.85,0.85,0.35,0.14,0.07,0.04,0.01,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.71,0.14,4.98,1.16,26,45,17,12,71,14,85,85,35,14,7,4,1
