id,team_name,fifa_code,group_letter,fifa_elo_rating,fifa_world_ranking
1,Mexico,MEX,A,1681.03,15
2,South Africa,RSA,A,1429.73,60
3,South Korea,KOR,A,1588.66,25
4,Czechia,CZE,A,1501.38,41
5,Canada,CAN,B,1556.48,30
6,Bosnia and Herzegovina,BIH,B,1385.84,65
7,Qatar,QAT,B,1454.96,55
8,Switzerland,SUI,B,1649.4,19
9,Brazil,BRA,C,1761.16,6
10,Morocco,MAR,C,1755.87,8
11,Haiti,HAI,C,1291.71,83
12,Scotland,SCO,C,1498.35,43
13,USA,USA,D,1673.13,16
14,Paraguay,PAR,D,1503.5,40
15,Australia,AUS,D,1580.67,27
16,Turkey,TUR,D,1599.04,22
17,Germany,GER,E,1730.37,10
18,Curacao,CUR,E,1294.65,82
19,Cote d'Ivoire,CIV,E,1532.98,34
20,Ecuador,ECU,E,1594.78,23
21,Netherlands,NED,F,1757.87,7
22,Japan,JPN,F,1660.43,18
23,Sweden,SWE,F,1514.77,38
24,Tunisia,TUN,F,1483.05,44
25,Belgium,BEL,G,1734.71,9
26,Egypt,EGY,G,1563.24,29
27,IR Iran,IRN,G,1615.3,21
28,New Zealand,NZL,G,1281.57,85
29,Spain,ESP,H,1876.4,2
30,Cabo Verde,CPV,H,1366.13,69
31,Saudi Arabia,KSA,H,1421.43,61
32,Uruguay,URU,H,1673.07,17
33,France,FRA,I,1877.32,1
34,Senegal,SEN,I,1688.99,14
35,Iraq,IRQ,I,1447.14,57
36,Norway,NOR,I,1550.94,31
37,Argentina,ARG,J,1874.81,3
38,Algeria,ALG,J,1564.26,28
39,Austria,AUT,J,1593.45,24
40,Jordan,JOR,J,1391.45,63
41,Portugal,POR,K,1763.83,5
42,DR Congo,COD,K,1478.35,46
43,Uzbekistan,UZB,K,1465.34,50
44,Colombia,COL,K,1693.09,13
45,England,ENG,L,1825.97,4
46,Croatia,CRO,L,1717.07,11
47,Ghana,GHA,L,1346.31,74
48,Panama,PAN,L,1540.64,33
