date,home_team,away_team,winner,first_shooter
1967-08-22,India,Taiwan,Taiwan,
1971-11-14,South Korea,Vietnam Republic,South Korea,
1972-05-07,South Korea,Iraq,Iraq,
1972-05-17,Thailand,South Korea,South Korea,
1972-05-19,Thailand,Cambodia,Thailand,
1973-04-21,Senegal,Ghana,Ghana,
1973-06-14,Guinea,Mali,Guinea,
1973-06-14,Mauritius,Tanzania,Mauritius,
1973-07-26,Malaysia,Kuwait,Malaysia,
1973-07-26,Cambodia,Singapore,Singapore,
1973-07-27,Bangladesh,Thailand,Thailand,
1973-07-28,Myanmar,South Korea,Myanmar,
1973-08-09,India,Vietnam Republic,Vietnam Republic,
1973-08-23,Algeria,Syria,Syria,
1973-08-25,Algeria,Iraq,Algeria,
1973-09-06,Singapore,Vietnam Republic,Vietnam Republic,
1974-03-28,Qatar,United Arab Emirates,Qatar,
1974-07-24,Hong Kong,Indonesia,Indonesia,
1974-08-01,India,Indonesia,Indonesia,
1974-10-09,Syria,Morocco,Morocco,
1974-11-22,Libya,Tunisia,Tunisia,
1974-12-18,South Korea,Malaysia,South Korea,
1975-07-13,Morocco,Ghana,Morocco,
1975-11-09,Kenya,Malawi,Kenya,
1975-12-09,Thailand,Malaysia,Thailand,
1975-12-23,Libya,Syria,Syria,
1976-06-20,Czechoslovakia,Germany,Czechoslovakia,Czechoslovakia
1976-12-22,South Korea,Malaysia,Malaysia,
1977-01-09,Tunisia,Morocco,Tunisia,
1977-03-22,Argentina,Iran,Argentina,
1977-06-26,Zambia,Algeria,Zambia,
1977-07-27,Iran,Morocco,Iran,
1977-08-31,Paraguay,Argentina,Paraguay,
1979-01-13,Guinea-Bissau,Mali,Mali,
1979-01-14,Guinea-Bissau,Guinea,Guinea,
1979-04-29,Cameroon,Guinea,Guinea,
1979-05-22,Argentina,Netherlands,Argentina,Argentina
1979-08-31,Seychelles,Mauritius,Seychelles,
1979-09-29,Indonesia,Thailand,Indonesia,
1980-02-16,Gambia,Mauritania,Gambia,
1980-03-19,Algeria,Egypt,Algeria,
1980-06-21,Italy,Czechoslovakia,Czechoslovakia,Italy
1980-07-12,Nigeria,Tunisia,Nigeria,
1980-11-30,Zambia,Morocco,Morocco,
1980-12-31,Hong Kong,China PR,China PR,
1981-02-13,Mali,Guinea,Guinea,
1981-05-10,Rwanda,Ethiopia,Ethiopia,
1981-12-13,Malaysia,Singapore,Malaysia,
1982-02-21,Ivory Coast,Togo,Togo,
1982-02-22,Ivory Coast,Burkina Faso,Burkina Faso,
1982-03-19,Libya,Ghana,Ghana,
1982-05-15,Thailand,Singapore,Thailand,
1982-05-17,Thailand,South Korea,Thailand,
1982-07-08,Germany,France,Germany,France
1982-10-17,Indonesia,Malaysia,Indonesia,
1982-11-27,Uganda,Kenya,Kenya,
1983-02-06,Senegal,Niger,Senegal,
1983-02-20,Gambia,Sierra Leone,Gambia,
1983-02-27,Mali,Guinea,Mali,
1983-04-22,Egypt,Congo,Egypt,
1983-04-24,Mauritius,Ethiopia,Ethiopia,
1983-06-04,Thailand,Malaysia,Thailand,
1983-07-18,Hong Kong,Thailand,Thailand,
1983-08-28,Morocco,Nigeria,Nigeria,
1983-12-15,Ivory Coast,Mali,Ivory Coast,
1983-12-18,Mali,Nigeria,Mali,
1984-02-16,Sierra Leone,Mali,Sierra Leone,
1984-02-19,Sierra Leone,Senegal,Senegal,
1984-03-14,Egypt,Nigeria,Nigeria,
1984-03-14,Algeria,Cameroon,Cameroon,
1984-03-28,Iraq,Qatar,Iraq,
1984-06-24,Denmark,Spain,Spain,Denmark
1984-07-15,Senegal,Angola,Angola,
1984-11-23,Kenya,Somalia,Kenya,
1984-11-28,Ghana,Togo,Ghana,
1984-12-08,Kenya,Somalia,Kenya,
1984-12-13,Saudi Arabia,Iran,Saudi Arabia,
1984-12-15,Malawi,Zambia,Zambia,
1984-12-16,Iran,Kuwait,Kuwait,
1984-12-16,Chad,Equatorial Guinea,Chad,
1984-12-19,Central African Republic,Gabon,Gabon,
1984-12-20,Congo,Cameroon,Cameroon,
1985-04-16,Mozambique,Malawi,Mozambique,
1985-04-21,Madagascar,Egypt,Egypt,
1985-07-10,Bahrain,Qatar,Bahrain,
1985-07-12,Saudi Arabia,Qatar,Saudi Arabia,
1985-08-25,Mali,Guinea,Guinea,
1985-08-31,Mauritius,Réunion,Mauritius,
1985-09-15,Mozambique,Libya,Mozambique,
1985-10-11,Kenya,Uganda,Kenya,
1985-12-15,Singapore,Malaysia,Singapore,
1985-12-25,Pakistan,Nepal,Nepal,
1985-12-25,Bangladesh,India,India,
1986-03-21,Egypt,Cameroon,Egypt,
1986-06-21,Brazil,France,France,Brazil
1986-06-21,Mexico,Germany,Germany,Germany
1986-06-22,Spain,Belgium,Belgium,Spain
1986-10-01,Saudi Arabia,Iraq,Saudi Arabia,
1986-10-01,South Korea,Iran,South Korea,
1986-10-01,United Arab Emirates,Indonesia,Indonesia,
