player_id,transfer_date,transfer_season,from_club_id,to_club_id,from_club_name,to_club_name,transfer_fee,market_value_in_eur,player_name
467994,2030-06-30,25/26,5621,749,Reggiana,FC Empoli,0.0,700000.0,Luca Belardinelli
739277,2027-05-30,26/27,42055,589,Genclik Gücü,Antalyaspor,0.0,,Yannick Nkurunziza
401533,2026-12-31,26/27,2029,2423,Ceará SC,Santa Clara,0.0,1500000.0,Matheusinho
468256,2026-12-31,26/27,2035,16655,Avaí FC,Atlético-MG B,0.0,700000.0,Daniel Penha
541914,2026-12-31,26/27,713,1124,BATE Borisov,Fakel Voronezh,0.0,225000.0,Anton Kovalev
562734,2026-12-31,26/27,27190,7160,SH Port,Eyüpspor,0.0,1500000.0,Prince Ampem
589911,2026-12-31,26/27,2029,2423,Ceará SC,Santa Clara,0.0,2000000.0,Wendel
634023,2026-12-31,26/27,13379,53646,Cúcuta Dep.,Polissya,0.0,400000.0,Luifer Hernández
648076,2026-12-31,26/27,43146,1532,UCV FC,Albacete,0.0,350000.0,Jovanny Bolívar
661858,2026-12-31,26/27,6985,5570,Oriente P.,The Strongest,0.0,200000.0,José Flores
697943,2026-12-31,26/27,1186,2698,Torpedo Moscow,Rubin Kazan,0.0,250000.0,Nikita Korets
715379,2026-12-31,26/27,28098,49702,FC Kaluga,Pari NN,0.0,100000.0,Evgeniy Lukinykh
762387,2026-12-31,26/27,34828,660,Istiqlol,Shakhtar D.,0.0,100000.0,Khusrav Toirov
837974,2026-12-31,26/27,11855,1444,Guaraní,Racing Club,0.0,700000.0,Patricio Tanda
912491,2026-12-31,26/27,3723,100383,M. Lipetsk,Fakel II,0.0,,Shota Chikhradze
926979,2026-12-31,26/27,8995,1177,Hødd,Silkeborg IF,0.0,100000.0,Sebastian Biller
927271,2026-12-31,26/27,16198,16704,Atyrau,Krasnodar,0.0,250000.0,Konstantin Dorofeev
946396,2026-12-31,26/27,4394,14589,Dnepr Mogilev,Orenburg,0.0,100000.0,Timofey Martynov
1105073,2026-12-31,26/27,6992,20960,Chornomorets,Plaza Amador,0.0,100000.0,Anel Ryce
1126427,2026-12-31,26/27,93338,26468,Rayo Zuliano,Dep. La Guaira,0.0,50000.0,Maiken González
