team,team_code,page,role,coach_name,first_names,last_names,nationality
Algeria,ALG,1,Head coach,PETKOVIC Vladimir,Vladimir,PETKOVIĆ,Switzerland
Argentina,ARG,2,Head coach,SCALONI Lionel,Lionel Sebastián,SCALONI,Argentina
Australia,AUS,3,Head coach,POPOVIC Tony,Tony,POPOVIC,Australia
Austria,AUT,4,Head coach,RANGNICK Ralf,Ralf Dietrich,RANGNICK,Germany
Belgium,BEL,5,Head coach,GARCIA Rudi,Rudi José,GARCIA,France
Bosnia And Herzegovina,BIH,6,Head coach,BARBAREZ Sergej,Sergej,BARBAREZ,Bosnia And Herzegovina
Brazil,BRA,7,Head coach,ANCELOTTI Carlo,Carlo,ANCELOTTI,Italy
Cabo Verde,CPV,8,Head coach,BUBISTA,Pedro,LEITÃO BRITO,Cabo Verde
Canada,CAN,9,Head coach,MARSCH Jesse,Jesse Alan,MARSCH,USA
Colombia,COL,10,Head coach,LORENZO Nestor,Nestor Gabriel,LORENZO,Argentina
Congo DR,COD,11,Head coach,DESABRE Sebastien,Sebastien Serge Louis,DESABRE,France
Côte D'Ivoire,CIV,12,Head coach,FAE Emerse,Emerse,FAE,Côte D'Ivoire
Croatia,CRO,13,Head coach,DALIC Zlatko,Zlatko,DALIĆ,Croatia
Curaçao,CUW,14,Head coach,ADVOCAAT Dick,Dirk Nicolaas,ADVOCAAT,Netherlands
Czechia,CZE,15,Head coach,KOUBEK Miroslav,Miroslav,KOUBEK,Czech Republic
Ecuador,ECU,16,Head coach,BECCACECE Sebastian,Sebastián Andrés,BECCACECE,Argentina
Egypt,EGY,17,Head coach,HOSSAM HASSAN,Hossam Hassan Hassanein,HASSAN,Egypt
England,ENG,18,Head coach,TUCHEL Thomas,Thomas,TUCHEL,Germany
France,FRA,19,Head coach,DESCHAMPS Didier,Didier Claude,DESCHAMPS,France
Germany,GER,20,Head coach,NAGELSMANN Julian,Julian,NAGELSMANN,Germany
Ghana,GHA,21,Head coach,CARLOS QUEIROZ,Carlos Manuel,BRITO LEAL DE QUEIROZ,Portugal
Haiti,HAI,22,Head coach,MIGNE Sebastien,Sébastien Bernard Henri C,MIGNÉ,France
IR Iran,IRN,23,Head coach,GHALEHNOY Amir,Ardeshir,GHALEHNOY,IR Iran
Iraq,IRQ,24,Head coach,ARNOLD Graham,Graham James,ARNOLD,Australia
Japan,JPN,25,Head coach,MORIYASU Hajime,Hajime,MORIYASU,Japan
Jordan,JOR,26,Head coach,SELLAMI Jamal,Jamal,SELLAMI,Morocco
Korea Republic,KOR,27,Head coach,HONG Myungbo,Myung Bo,HONG,Korea Republic
Mexico,MEX,28,Head coach,AGUIRRE Javier,Javier,AGUIRRE ONAINDIA,Mexico
Morocco,MAR,29,Head coach,OUAHBI Mohamed,Mohamed,OUAHBI,Morocco
Netherlands,NED,30,Head coach,KOEMAN Ronald,Ronald,KOEMAN,Netherlands
New Zealand,NZL,31,Head coach,BAZELEY Darren,Darren Shaun,BAZELEY,New Zealand
Norway,NOR,32,Head coach,SOLBAKKEN Stale,Ståle,SOLBAKKEN,Norway
Panama,PAN,33,Head coach,CHRISTIANSEN Thomas,Thomas,CHRISTIANSEN TARIN,Spain
Paraguay,PAR,34,Head coach,ALFARO Gustavo,Gustavo Julio,ALFARO,Argentina
Portugal,POR,35,Head coach,MARTINEZ Roberto,Roberto,MARTÍNEZ MONTOLIU,Spain
Qatar,QAT,36,Head coach,LOPETEGUI Julen,Julian,LOPETEGUI ARGOTE,Spain
Saudi Arabia,KSA,37,Head coach,DONIS Georgios,Georgios,DONIS,Greece
Scotland,SCO,38,Head coach,CLARKE Steve,Stephen,CLARKE,Scotland
Senegal,SEN,39,Head coach,THIAW Pape,Pape Bouna,THIAW,Senegal
South Africa,RSA,40,Head coach,BROOS Hugo,Hugo Henri,BROOS,Belgium
Spain,ESP,41,Head coach,DE LA FUENTE Luis,Luis,DE LA FUENTE CASTILLO,Spain
Sweden,SWE,42,Head coach,POTTER Graham,Graham Stephen,POTTER,England
Switzerland,SUI,43,Head coach,YAKIN Murat,Murat,YAKIN,Switzerland
Tunisia,TUN,44,Head coach,LAMOUCHI Sabri,Sabri,LAMOUCHI,France
Türkiye,TUR,45,Head coach,MONTELLA Vincenzo,Vincenzo,MONTELLA,Italy
Uruguay,URU,46,Head coach,BIELSA Marcelo,Marcelo Alberto,BIELSA,Argentina
USA,USA,47,Head coach,POCHETTINO Mauricio,Mauricio Roberto,POCHETTINO TROSSERO,Argentina
Uzbekistan,UZB,48,Head coach,CANNAVARO Fabio,Fabio,CANNAVARO,Italy
