team,team_code,page,squad_number,position,player_name,first_names,last_names,name_on_shirt,dob,age_on_2026_06_11,club,height_cm,caps,goals
Algeria,ALG,1,1,GK,MASTIL Melvin,Melvin Feycal,MASTIL,MASTIL,19/02/2000,26,FC Stade Nyonnais (SUI),194,2,0
Algeria,ALG,1,2,DF,MANDI Aissa,Aissa,MANDI,MANDI,22/10/1991,34,Lille OSC (FRA),184,119,8
Algeria,ALG,1,3,DF,ABADA Achref,Achref,ABADA,ABADA,15/06/1999,26,USM Alger (ALG),185,10,1
Algeria,ALG,1,4,DF,TOUGAI Mohamed Amine,Mohamed Amine,TOUGAI,TOUGAI,22/01/2000,26,Espérance De Tunisie (TUN),186,30,2
Algeria,ALG,1,5,DF,BELAID Zineddine,Zineddine,BELAÏD,BELAID,20/03/1999,27,JS Kabylie (ALG),186,18,1
Algeria,ALG,1,6,MF,ZERROUKI Ramiz,Ramiz Larbi,ZERROUKI,ZERROUKI,26/05/1998,28,FC Twente (NED),183,53,3
Algeria,ALG,1,7,FW,MAHREZ Riyad,Riyad Karim,MAHREZ,MAHREZ,21/02/1991,35,Al Ahli FC (KSA),179,116,38
Algeria,ALG,1,8,MF,AOUAR Houssem,Houssem-Eddine Chaabane,AOUAR,AOUAR,30/06/1998,27,Al Ittihad (KSA),175,23,6
Algeria,ALG,1,9,FW,GOUIRI Amine,Amine Ferid,GHOUIRI,GOUIRI,16/02/2000,26,Olympique Marseille (FRA),180,23,10
Algeria,ALG,1,10,MF,CHAIBI Fares,Fares,CHAIBI,CHAIBI,28/11/2002,23,Eintracht Frankfurt (GER),183,31,3
Algeria,ALG,1,11,FW,HADJ MOUSSA Anis,Anis,HADJ MOUSSA,HADJ MOUSSA,11/02/2002,24,Feyenoord Rotterdam (NED),176,15,2
Algeria,ALG,1,12,FW,BENBOUALI Nadhir,Ahmed Nadhir,BENBOUALI,BENBOUALI,17/04/2000,26,Györi ETO FC (HUN),190,4,1
Algeria,ALG,1,13,DF,HADJAM Jaouen,Jaouen Djimmy,HADJAM,HADJAM,26/03/2003,23,BSC Young Boys (SUI),185,18,3
Algeria,ALG,1,14,MF,BOUDAOUI Hicham,Hicham,BOUDAOUI,BOUDAOUI,23/09/1999,26,OGC Nice (FRA),175,34,0
Algeria,ALG,1,15,DF,AIT-NOURI Rayan,Rayan,AÏT-NOURI,AIT NOURI,06/06/2001,25,Manchester City FC (ENG),180,30,0
Algeria,ALG,1,16,GK,BENBOT Oussama,Oussama,BENBOT,BENBOT,11/10/1994,31,USM Alger (ALG),188,3,0
Algeria,ALG,1,17,DF,BELGHALI Rafik,Rafik,BELGHALI,BELGHALI,07/06/2002,24,Hellas Verona FC (ITA),180,13,1
Algeria,ALG,1,18,FW,AMOURA Mohamed,Mohammed Elamine,AMOURA,AMOURA,09/05/2000,26,VfL Wolfsburg (GER),170,47,19
Algeria,ALG,1,19,MF,BENTALEB Nabil,Nabil,BENTALEB,BENTALEB,24/11/1994,31,Lille OSC (FRA),189,60,6
Algeria,ALG,1,20,FW,BOULBINA Adil,Adil,BOULBINA,BOULBINA,02/05/2003,23,Al Duhail SC (QAT),183,11,5
Algeria,ALG,1,21,DF,BENSEBAINI Ramy,Amir Selmane Rami,BENSEBAINI,BENSEBAINI,16/04/1995,31,Borussia Dortmund (GER),187,82,9
Algeria,ALG,1,22,MF,MAZA Ibrahim,Ibrahim,MAZA,MAZA,24/11/2005,20,Bayer 04 Leverkusen (GER),180,17,2
Algeria,ALG,1,23,GK,ZIDANE Luca,Luca Zinedine,ZIDANE,ZIDANE,13/05/1998,28,Granada CF (ESP),183,7,0
Algeria,ALG,1,24,MF,TITRAOUI Yassine,Yassine M E G,TITRAOUI,TITRAOUI,26/07/2003,22,Sporting Charleroi (BEL),180,5,0
Algeria,ALG,1,25,FW,GHEDJEMIS Fares,Fares,GHEDJEMIS,GHEDJEMIS,06/09/2002,23,Frosinone (ITA),183,1,1
Algeria,ALG,1,26,DF,CHERGUI Samir,Samir Sophian,CHERGUI,CHERGUI,06/02/1999,27,Paris FC (FRA),185,5,0
Argentina,ARG,2,1,GK,MUSSO Juan,Juan Agustín,MUSSO,MUSSO,06/05/1994,32,Atlético De Madrid (ESP),193,4,0
Argentina,ARG,2,2,DF,BALERDI Leonardo,Leonardo Julián,BALERDI ROSA,BALERDI,26/01/1999,27,Olympique Marseille (FRA),188,11,0
Argentina,ARG,2,3,DF,TAGLIAFICO Nicolas,Nicolás Alejandro,TAGLIAFICO,TAGLIAFICO,31/08/1992,33,Olympique Lyonnais (FRA),172,76,1
Argentina,ARG,2,4,DF,MONTIEL Gonzalo,Gonzalo Ariel,MONTIEL,MONTIEL,01/01/1997,29,CA River Plate (ARG),175,39,2
Argentina,ARG,2,5,MF,PAREDES Leandro,Leandro Daniel,PAREDES,PAREDES,29/06/1994,31,CA Boca Juniors (ARG),182,77,5
Argentina,ARG,2,6,DF,MARTINEZ Lisandro,Lisandro,MARTÍNEZ,MARTÍNEZ,18/01/1998,28,Manchester United FC (ENG),175,28,1
Argentina,ARG,2,7,MF,DE PAUL Rodrigo,Rodrigo Javier,DE PAUL,DE PAUL,24/05/1994,32,Inter Miami CF (USA),178,87,2
Argentina,ARG,2,8,MF,BARCO Valentin,Valentin,BARCO,BARCO,23/07/2004,21,RC Strasbourg (FRA),172,4,2
Argentina,ARG,2,9,FW,ALVAREZ Julian,Julián,ÁLVAREZ,J. ALVAREZ,31/01/2000,26,Atlético De Madrid (ESP),170,51,14
Argentina,ARG,2,10,FW,MESSI Lionel,Lionel Andrés,MESSI,MESSI,24/06/1987,38,Inter Miami CF (USA),170,199,117
Argentina,ARG,2,11,MF,LO CELSO Giovani,Giovani,LO CELSO,LO CELSO,09/04/1996,30,Real Betis (ESP),177,67,4
Argentina,ARG,2,12,GK,RULLI Geronimo,Geronimo,RULLI,RULLI,20/05/1992,34,Olympique Marseille (FRA),189,8,0
Argentina,ARG,2,13,DF,ROMERO Cristian,Cristian Gabriel,ROMERO,ROMERO,27/04/1998,28,Tottenham Hotspur FC (ENG),185,51,3
Argentina,ARG,2,14,MF,PALACIOS Exequiel,Exequiel Alejandro,PALACIOS,PALACIOS,05/10/1998,27,Bayer 04 Leverkusen (GER),177,40,0
Argentina,ARG,2,15,MF,GONZALEZ Nico,Nicolas Ivan,GONZALEZ,N. GONZALEZ,06/04/1998,28,Atlético De Madrid (ESP),180,51,6
Argentina,ARG,2,16,FW,ALMADA Thiago,Thiago Ezequiel,ALMADA,ALMADA,26/04/2001,25,Atlético De Madrid (ESP),171,16,5
Argentina,ARG,2,17,FW,SIMEONE Giuliano,Giuliano,SIMEONE,SIMEONE,18/12/2002,23,Atlético De Madrid (ESP),174,13,2
Argentina,ARG,2,18,FW,PAZ Nico,Nicolas,PAZ MARTÍNEZ,NICO PAZ,08/09/2004,21,Como (ITA),185,9,1
Argentina,ARG,2,19,DF,OTAMENDI Nicolas,Nicolas Hernan Gonzalo,OTAMENDI,OTAMENDI,12/02/1988,38,SL Benfica (POR),182,132,8
Argentina,ARG,2,20,MF,MAC ALLISTER Alexis,Alexis,MAC ALLISTER,MAC ALLISTER,24/12/1998,27,Liverpool FC (ENG),176,46,6
Argentina,ARG,2,21,FW,LOPEZ Jose Manuel,Jose Manuel Alberto,LOPEZ,LOPEZ,06/12/2000,25,SE Palmeiras (BRA),190,5,0
Argentina,ARG,2,22,FW,MARTINEZ Lautaro,Lautaro Javier,MARTÍNEZ,L. MARTINEZ,22/08/1997,28,FC Internazionale Milano (ITA),175,77,37
Argentina,ARG,2,23,GK,MARTINEZ Emiliano,Damián Emiliano,MARTÍNEZ,E. MARTINEZ,02/09/1992,33,Aston Villa FC (ENG),195,59,0
Argentina,ARG,2,24,MF,FERNANDEZ Enzo,Enzo Jeremías,FERNÁNDEZ,E. FERNANDEZ,17/01/2001,25,Chelsea FC (ENG),178,42,6
Argentina,ARG,2,25,DF,MEDINA Facundo,Facundo Axel,MEDINA,MEDINA,28/05/1999,27,Olympique Marseille (FRA),184,9,0
Argentina,ARG,2,26,DF,MOLINA Nahuel,Nahuel,MOLINA LUCERO,MOLINA,06/04/1998,28,Atlético De Madrid (ESP),179,58,1
Australia,AUS,3,1,GK,RYAN Mathew,Mathew David,RYAN,RYAN,08/04/1992,34,Levante UD (ESP),184,104,0
Australia,AUS,3,2,DF,DEGENEK Milos,Milos,DEGENEK,DEGENEK,28/04/1994,32,APOEL FC (CYP),187,57,1
Australia,AUS,3,3,DF,CIRCATI Alessandro,Alessandro,CIRCATI,CIRCATI,10/10/2003,22,Parma (ITA),191,13,1
Australia,AUS,3,4,DF,ITALIANO Jacob,Jacob Michael,ITALIANO,ITALIANO,30/07/2001,24,Grazer AK (AUT),177,5,0
Australia,AUS,3,5,DF,BOS Jordan,Jordan Jacob,BOS,BOS,29/10/2002,23,Feyenoord Rotterdam (NED),180,27,4
Australia,AUS,3,6,DF,GERIA Jason,Jason Kato,GERIA,GERIA,10/05/1993,33,Albirex Niigata (JPN),181,14,0
Australia,AUS,3,7,FW,LECKIE Mathew,Mathew Allan,LECKIE,LECKIE,04/02/1991,35,Melbourne City FC (AUS),181,81,14
Australia,AUS,3,8,MF,METCALFE Connor,Connor Isaac,METCALFE,METCALFE,05/11/1999,26,FC St. Pauli (GER),183,36,1
Australia,AUS,3,9,FW,TOURE Mohamed,Mohamed A,TOURE,TOURE,26/03/2004,22,Norwich City FC (ENG),186,10,2
Australia,AUS,3,10,FW,HRUSTIC Ajdin,Ajdin,HRUSTIC,HRUSTIC,05/07/1996,29,SC Heracles Almelo (NED),180,37,3
Australia,AUS,3,11,FW,MABIL Awer,Awer Bul,MABIL,MABIL,15/09/1995,30,CD Castellón (ESP),178,38,10
Australia,AUS,3,12,GK,IZZO Paul,Paul David,IZZO,IZZO,06/01/1995,31,Randers FC (DEN),184,4,0
