team,team_code,squad_size,gk_count,df_count,mf_count,fw_count,avg_age_on_2026_06_11,avg_height_cm,total_caps,total_goals,avg_caps,avg_goals
Algeria,ALG,26,3,9,7,7,26.46,182.65,777,121,29.88,4.65
Argentina,ARG,26,3,8,8,7,28.62,179.69,1259,223,48.42,8.58
Australia,AUS,26,3,10,5,8,26.88,183.58,735,73,28.27,2.81
Austria,AUT,26,3,8,11,4,28.19,184.96,1004,149,38.62,5.73
Belgium,BEL,26,3,9,8,6,27.12,185.81,1085,214,41.73,8.23
Bosnia And Herzegovina,BIH,26,3,8,8,7,25.92,187.23,591,93,22.73,3.58
Brazil,BRA,26,3,8,6,9,28.81,183.12,916,152,35.23,5.85
Cabo Verde,CPV,26,3,8,12,3,29.23,181.35,825,75,31.73,2.88
Canada,CAN,26,3,9,8,6,26.42,182.08,944,130,36.31,5.0
Colombia,COL,26,3,9,8,6,29.58,180.0,1043,108,40.12,4.15
Congo DR,COD,26,3,8,8,7,28.5,181.0,790,80,30.38,3.08
Croatia,CRO,26,3,8,9,6,27.88,184.77,1160,153,44.62,5.88
Curaçao,CUW,26,3,8,7,8,27.54,181.92,621,72,23.88,2.77
Czechia,CZE,26,3,9,7,7,27.23,185.73,723,98,27.81,3.77
Côte D'Ivoire,CIV,26,3,8,6,9,25.35,182.92,706,82,27.15,3.15
Ecuador,ECU,26,3,8,8,7,25.58,180.54,770,94,29.62,3.62
Egypt,EGY,26,4,8,7,7,28.69,181.19,831,128,31.96,4.92
England,ENG,26,3,9,7,7,26.62,184.23,842,149,32.38,5.73
France,FRA,26,3,9,7,7,26.58,184.92,803,100,30.88,3.85
Germany,GER,26,3,8,11,4,27.62,186.19,844,105,32.46,4.04
Ghana,GHA,26,3,9,6,8,26.42,182.62,569,68,21.88,2.62
Haiti,HAI,26,3,8,6,9,27.08,181.38,647,115,24.88,4.42
IR Iran,IRN,26,3,9,8,6,29.81,183.65,1176,148,45.23,5.69
Iraq,IRQ,26,3,9,7,7,26.42,183.04,829,88,31.88,3.38
Japan,JPN,26,3,9,10,4,27.19,181.35,867,112,33.35,4.31
Jordan,JOR,26,3,9,8,6,28.08,180.31,1063,90,40.88,3.46
Korea Republic,KOR,26,3,9,11,3,27.46,181.92,958,142,36.85,5.46
Mexico,MEX,26,3,7,8,8,27.5,179.5,1221,118,46.96,4.54
Morocco,MAR,26,3,9,9,5,26.12,182.38,707,101,27.19,3.88
Netherlands,NED,26,3,8,8,7,27.31,185.15,861,153,33.12,5.88
New Zealand,NZL,26,3,9,10,4,27.62,183.46,853,109,32.81,4.19
Norway,NOR,26,3,8,10,5,26.35,187.15,801,121,30.81,4.65
Panama,PAN,26,3,11,8,4,30.0,181.58,1541,127,59.27,4.88
Paraguay,PAR,26,3,8,9,6,28.5,181.62,689,53,26.5,2.04
Portugal,POR,26,3,9,6,8,27.54,181.5,1161,259,44.65,9.96
Qatar,QAT,26,3,9,5,9,28.92,179.38,1570,216,60.38,8.31
Saudi Arabia,KSA,26,3,10,6,7,27.96,178.42,927,96,35.65,3.69
Scotland,SCO,26,3,10,6,7,28.73,184.46,973,98,37.42,3.77
Senegal,SEN,26,3,8,7,8,26.62,183.96,1016,131,39.08,5.04
South Africa,RSA,26,3,10,5,8,26.35,178.85,523,66,20.12,2.54
Spain,ESP,26,3,8,7,8,26.19,181.73,743,117,28.58,4.5
Sweden,SWE,26,3,11,7,5,27.0,186.19,515,65,19.81,2.5
Switzerland,SUI,26,3,8,8,7,27.81,185.23,1132,124,43.54,4.77
Tunisia,TUN,26,3,10,8,5,26.15,184.58,580,43,22.31,1.65
Türkiye,TUR,26,3,9,5,9,27.23,183.77,973,97,37.42,3.73
USA,USA,26,3,10,6,7,26.42,183.38,961,125,36.96,4.81
Uruguay,URU,26,3,7,11,5,28.19,180.46,927,75,35.65,2.88
Uzbekistan,UZB,26,3,10,10,3,27.96,181.81,1023,132,39.35,5.08
