group,rank,team,team_id,played,wins,draws,losses,goals_for,goals_against,goal_difference,points,source,last_updated
Group A,1,Mexico,203,1,1,0,0,2,0,2,3,espn_json,2026-06-17T09:25:54+00:00
Group A,3,Czechia,450,1,0,0,1,1,2,-1,0,espn_json,2026-06-17T09:25:54+00:00
Group A,2,South Korea,451,1,1,0,0,2,1,1,3,espn_json,2026-06-17T09:25:54+00:00
Group A,4,South Africa,467,1,0,0,1,0,2,-2,0,espn_json,2026-06-17T09:25:54+00:00
Group B,2,Canada,206,1,0,1,0,1,1,0,1,espn_json,2026-06-17T09:25:54+00:00
Group B,4,Bosnia-Herzegovina,452,1,0,1,0,1,1,0,1,espn_json,2026-06-17T09:25:54+00:00
Group B,1,Switzerland,475,1,0,1,0,1,1,0,1,espn_json,2026-06-17T09:25:54+00:00
Group B,3,Qatar,4398,1,0,1,0,1,1,0,1,espn_json,2026-06-17T09:25:54+00:00
Group C,3,Brazil,205,1,0,1,0,1,1,0,1,espn_json,2026-06-17T09:25:54+00:00
Group C,1,Scotland,580,1,1,0,0,1,0,1,3,espn_json,2026-06-17T09:25:54+00:00
Group C,4,Haiti,2654,1,0,0,1,0,1,-1,0,espn_json,2026-06-17T09:25:54+00:00
Group C,2,Morocco,2869,1,0,1,0,1,1,0,1,espn_json,2026-06-17T09:25:54+00:00
Group D,4,Paraguay,210,1,0,0,1,1,4,-3,0,espn_json,2026-06-17T09:25:54+00:00
Group D,3,Türkiye,465,1,0,0,1,0,2,-2,0,espn_json,2026-06-17T09:25:54+00:00
Group D,2,Australia,628,1,1,0,0,2,0,2,3,espn_json,2026-06-17T09:25:54+00:00
Group D,1,United States,660,1,1,0,0,4,1,3,3,espn_json,2026-06-17T09:25:54+00:00
Group E,3,Ecuador,209,1,0,0,1,0,1,-1,0,espn_json,2026-06-17T09:25:54+00:00
Group E,1,Germany,481,1,1,0,0,7,1,6,3,espn_json,2026-06-17T09:25:54+00:00
Group E,2,Ivory Coast,4789,1,1,0,0,1,0,1,3,espn_json,2026-06-17T09:25:54+00:00
Group E,4,Curaçao,11678,1,0,0,1,1,7,-6,0,espn_json,2026-06-17T09:25:54+00:00
Group F,3,Netherlands,449,1,0,1,0,2,2,0,1,espn_json,2026-06-17T09:25:54+00:00
Group F,1,Sweden,466,1,1,0,0,5,1,4,3,espn_json,2026-06-17T09:25:54+00:00
Group F,2,Japan,627,1,0,1,0,2,2,0,1,espn_json,2026-06-17T09:25:54+00:00
Group F,4,Tunisia,659,1,0,0,1,1,5,-4,0,espn_json,2026-06-17T09:25:54+00:00
Group G,3,Belgium,459,1,0,1,0,1,1,0,1,espn_json,2026-06-17T09:25:54+00:00
Group G,2,Iran,469,1,0,1,0,2,2,0,1,espn_json,2026-06-17T09:25:54+00:00
Group G,4,Egypt,2620,1,0,1,0,1,1,0,1,espn_json,2026-06-17T09:25:54+00:00
Group G,1,New Zealand,2666,1,0,1,0,2,2,0,1,espn_json,2026-06-17T09:25:54+00:00
Group H,3,Spain,164,1,0,1,0,0,0,0,1,espn_json,2026-06-17T09:25:54+00:00
Group H,1,Uruguay,212,1,0,1,0,1,1,0,1,espn_json,2026-06-17T09:25:54+00:00
Group H,2,Saudi Arabia,655,1,0,1,0,1,1,0,1,espn_json,2026-06-17T09:25:54+00:00
Group H,4,Cape Verde,2597,1,0,1,0,0,0,0,1,espn_json,2026-06-17T09:25:54+00:00
Group I,1,Norway,464,1,1,0,0,4,1,3,3,espn_json,2026-06-17T09:25:54+00:00
Group I,2,France,478,1,1,0,0,3,1,2,3,espn_json,2026-06-17T09:25:54+00:00
Group I,3,Senegal,654,1,0,0,1,1,3,-2,0,espn_json,2026-06-17T09:25:54+00:00
Group I,4,Iraq,4375,1,0,0,1,1,4,-3,0,espn_json,2026-06-17T09:25:54+00:00
Group J,1,Argentina,202,1,1,0,0,3,0,3,3,espn_json,2026-06-17T09:25:54+00:00
Group J,2,Austria,474,1,1,0,0,3,1,2,3,espn_json,2026-06-17T09:25:54+00:00
Group J,4,Algeria,624,1,0,0,1,0,3,-3,0,espn_json,2026-06-17T09:25:54+00:00
Group J,3,Jordan,2917,1,0,0,1,1,3,-2,0,espn_json,2026-06-17T09:25:54+00:00
Group K,4,Colombia,208,0,0,0,0,0,0,0,0,espn_json,2026-06-17T09:25:54+00:00
Group K,1,Portugal,482,0,0,0,0,0,0,0,0,espn_json,2026-06-17T09:25:54+00:00
Group K,3,Uzbekistan,2570,0,0,0,0,0,0,0,0,espn_json,2026-06-17T09:25:54+00:00
Group K,2,Congo DR,2850,0,0,0,0,0,0,0,0,espn_json,2026-06-17T09:25:54+00:00
Group L,1,England,448,0,0,0,0,0,0,0,0,espn_json,2026-06-17T09:25:54+00:00
Group L,2,Croatia,477,0,0,0,0,0,0,0,0,espn_json,2026-06-17T09:25:54+00:00
Group L,4,Panama,2659,0,0,0,0,0,0,0,0,espn_json,2026-06-17T09:25:54+00:00
Group L,3,Ghana,4469,0,0,0,0,0,0,0,0,espn_json,2026-06-17T09:25:54+00:00
