group_letter,team_name,fifa_code,matches_played,wins,draws,losses,goals_for,goals_against,goal_difference,points
A,Mexico,MEX,1,1,0,0,2,0,2,3
A,South Korea,KOR,1,1,0,0,2,1,1,3
A,Czechia,CZE,1,0,0,1,1,2,-1,0
A,South Africa,RSA,1,0,0,1,0,2,-2,0
B,Canada,CAN,0,0,0,0,0,0,0,0
B,Bosnia and Herzegovina,BIH,0,0,0,0,0,0,0,0
B,Qatar,QAT,0,0,0,0,0,0,0,0
B,Switzerland,SUI,0,0,0,0,0,0,0,0
C,Brazil,BRA,0,0,0,0,0,0,0,0
C,Morocco,MAR,0,0,0,0,0,0,0,0
C,Haiti,HAI,0,0,0,0,0,0,0,0
C,Scotland,SCO,0,0,0,0,0,0,0,0
D,USA,USA,0,0,0,0,0,0,0,0
D,Paraguay,PAR,0,0,0,0,0,0,0,0
D,Australia,AUS,0,0,0,0,0,0,0,0
D,Turkey,TUR,0,0,0,0,0,0,0,0
E,Germany,GER,0,0,0,0,0,0,0,0
E,Curacao,CUR,0,0,0,0,0,0,0,0
E,Cote d'Ivoire,CIV,0,0,0,0,0,0,0,0
E,Ecuador,ECU,0,0,0,0,0,0,0,0
F,Netherlands,NED,0,0,0,0,0,0,0,0
F,Japan,JPN,0,0,0,0,0,0,0,0
F,Sweden,SWE,0,0,0,0,0,0,0,0
F,Tunisia,TUN,0,0,0,0,0,0,0,0
G,Belgium,BEL,0,0,0,0,0,0,0,0
G,Egypt,EGY,0,0,0,0,0,0,0,0
G,IR Iran,IRN,0,0,0,0,0,0,0,0
G,New Zealand,NZL,0,0,0,0,0,0,0,0
H,Spain,ESP,0,0,0,0,0,0,0,0
H,Cabo Verde,CPV,0,0,0,0,0,0,0,0
H,Saudi Arabia,KSA,0,0,0,0,0,0,0,0
H,Uruguay,URU,0,0,0,0,0,0,0,0
I,France,FRA,0,0,0,0,0,0,0,0
I,Senegal,SEN,0,0,0,0,0,0,0,0
I,Iraq,IRQ,0,0,0,0,0,0,0,0
I,Norway,NOR,0,0,0,0,0,0,0,0
J,Argentina,ARG,0,0,0,0,0,0,0,0
J,Algeria,ALG,0,0,0,0,0,0,0,0
J,Austria,AUT,0,0,0,0,0,0,0,0
J,Jordan,JOR,0,0,0,0,0,0,0,0
K,Portugal,POR,0,0,0,0,0,0,0,0
K,DR Congo,COD,0,0,0,0,0,0,0,0
K,Uzbekistan,UZB,0,0,0,0,0,0,0,0
K,Colombia,COL,0,0,0,0,0,0,0,0
L,England,ENG,0,0,0,0,0,0,0,0
L,Croatia,CRO,0,0,0,0,0,0,0,0
L,Ghana,GHA,0,0,0,0,0,0,0,0
L,Panama,PAN,0,0,0,0,0,0,0,0
