team,group,current_points,current_gd,current_goals_for,current_goals_against,simulations,advance_pct,round_of_32_pct,round_of_16_pct,quarterfinal_pct,semifinal_pct,final_pct,champion_pct,last_updated
Spain,H,0,0,0,0,10000,99.71,99.71,80.7,60.75,50.05,37.43,23.57,2026-06-13T12:11:38+00:00
Argentina,J,0,0,0,0,10000,99.41,99.41,75.33,63.45,49.12,31.22,20.12,2026-06-13T12:11:38+00:00
France,I,0,0,0,0,10000,99.25,99.25,85.63,61.55,43.87,27.29,17.1,2026-06-13T12:11:38+00:00
England,L,0,0,0,0,10000,99.1,99.1,78.04,57.26,32.13,18.42,9.76,2026-06-13T12:11:38+00:00
Portugal,K,0,0,0,0,10000,96.77,96.77,65.33,40.47,20.36,10.18,4.36,2026-06-13T12:11:38+00:00
Brazil,C,0,0,0,0,10000,98.05,98.05,63.41,35.38,22.28,9.89,4.27,2026-06-13T12:11:38+00:00
Germany,E,0,0,0,0,10000,97.88,97.88,70.5,47.38,25.48,10.66,3.72,2026-06-13T12:11:38+00:00
Morocco,C,0,0,0,0,10000,97.36,97.36,58.35,29.66,17.69,7.55,2.9,2026-06-13T12:11:38+00:00
Netherlands,F,0,0,0,0,10000,96.01,96.01,53.94,25.91,14.31,6.62,2.9,2026-06-13T12:11:38+00:00
Belgium,G,0,0,0,0,10000,98.05,98.05,70.62,45.48,16.37,7.58,2.63,2026-06-13T12:11:38+00:00
Croatia,L,0,0,0,0,10000,95.4,95.4,56.13,25.89,11.9,5.02,1.76,2026-06-13T12:11:38+00:00
Colombia,K,0,0,0,0,10000,93.27,93.27,54.18,28.91,12.59,5.04,1.49,2026-06-13T12:11:38+00:00
Senegal,I,0,0,0,0,10000,87.28,87.28,50.18,22.3,10.71,3.61,1.02,2026-06-13T12:11:38+00:00
Uruguay,H,0,0,0,0,10000,95.21,95.21,31.09,17.02,8.13,2.68,0.78,2026-06-13T12:11:38+00:00
Switzerland,B,0,0,0,0,10000,95.4,95.4,59.79,20.11,8.25,2.47,0.62,2026-06-13T12:11:38+00:00
Mexico,A,3,2,2,0,10000,99.57,99.57,63.05,24.34,8.21,2.38,0.56,2026-06-13T12:11:38+00:00
Ecuador,E,0,0,0,0,10000,91.63,91.63,47.25,21.88,7.54,2.11,0.48,2026-06-13T12:11:38+00:00
Turkey,D,0,0,0,0,10000,79.82,79.82,43.01,19.15,4.97,1.49,0.47,2026-06-13T12:11:38+00:00
Japan,F,0,0,0,0,10000,85.99,85.99,32.27,12.71,5.99,1.61,0.4,2026-06-13T12:11:38+00:00
Austria,J,0,0,0,0,10000,77.72,77.72,23.82,9.31,2.74,0.72,0.17,2026-06-13T12:11:38+00:00
Norway,I,0,0,0,0,10000,64.42,64.42,27.41,9.0,2.67,0.72,0.17,2026-06-13T12:11:38+00:00
USA,D,0,0,0,0,10000,74.45,74.45,36.62,15.03,3.59,0.88,0.16,2026-06-13T12:11:38+00:00
IR Iran,G,0,0,0,0,10000,88.8,88.8,40.76,13.1,3.13,0.68,0.14,2026-06-13T12:11:38+00:00
Australia,D,0,0,0,0,10000,69.52,69.52,29.84,9.97,1.92,0.61,0.08,2026-06-13T12:11:38+00:00
Cote d'Ivoire,E,0,0,0,0,10000,80.2,80.2,30.1,9.25,1.95,0.36,0.08,2026-06-13T12:11:38+00:00
