match_id,team_a,team_b,goals_a,goals_b,actual_result
1,Mexico,South Africa,2,0,2-0 correct
2,South Korea,Czechia,1,1, 2-1 incorrect
3,Canada,Bosnia and Herzegovina,1,0,
4,USA,Paraguay,1,1,
5,Qatar,Switzerland,0,2,
6,Brazil,Morocco,1,1,
7,Haiti,Scotland,0,1,
8,Australia,Turkey,1,1,
9,Germany,Curacao,2,0,
10,Netherlands,Japan,1,1,
11,Cote d'Ivoire,Ecuador,1,1,
12,Sweden,Tunisia,1,1,
13,Spain,Cabo Verde,2,0,
14,Belgium,Egypt,1,0,
15,Saudi Arabia,Uruguay,0,2,
16,IR Iran,New Zealand,2,0,
17,France,Senegal,1,0,
18,Iraq,Norway,0,1,
19,Argentina,Algeria,2,0,
20,Austria,Jordan,1,0,
21,Portugal,DR Congo,2,0,
22,England,Croatia,1,1,
23,Ghana,Panama,0,1,
24,Uzbekistan,Colombia,0,2,
25,Czechia,South Africa,1,1,
26,Switzerland,Bosnia and Herzegovina,2,0,
27,Canada,Qatar,1,0,
28,Mexico,South Korea,1,1,
29,USA,Australia,1,1,
30,Scotland,Morocco,0,2,
31,Brazil,Haiti,2,0,
32,Turkey,Paraguay,1,1,
33,Netherlands,Sweden,2,0,
34,Germany,Cote d'Ivoire,1,0,
35,Ecuador,Curacao,2,0,
36,Tunisia,Japan,0,1,
37,Spain,Saudi Arabia,2,0,
38,Belgium,IR Iran,1,0,
39,Uruguay,Cabo Verde,2,0,
40,New Zealand,Egypt,0,2,
41,Argentina,Austria,2,0,
42,France,Iraq,2,0,
43,Norway,Senegal,1,1,
44,Jordan,Algeria,0,1,
45,Portugal,Uzbekistan,2,0,
46,England,Ghana,2,0,
47,Panama,Croatia,0,1,
48,Colombia,DR Congo,2,0,
49,Switzerland,Canada,1,1,
50,Bosnia and Herzegovina,Qatar,1,1,
51,Scotland,Brazil,0,2,
52,Morocco,Haiti,2,0,
53,Czechia,Mexico,0,1,
54,South Africa,South Korea,0,1,
55,Curacao,Cote d'Ivoire,0,2,
56,Ecuador,Germany,1,1,
57,Japan,Sweden,1,1,
58,Tunisia,Netherlands,0,2,
59,Turkey,USA,1,1,
60,Paraguay,Australia,1,1,
61,Norway,France,0,2,
62,Senegal,Iraq,2,0,
63,Cabo Verde,Saudi Arabia,1,1,
64,Uruguay,Spain,0,1,
65,Egypt,IR Iran,1,1,
66,New Zealand,Belgium,0,2,
67,Panama,England,0,2,
68,Croatia,Ghana,2,0,
69,Colombia,Portugal,1,1,
70,DR Congo,Uzbekistan,1,1,
71,Algeria,Austria,1,1,
72,Jordan,Argentina,0,2,
